qr,plot,loc,field,nLvl,irrigation,rep,row,range,genotype,anthesisDate,anthesisCollector,silkingDate,silkingCollector,notes,leafLen1,leafWidth1,leafLen2,leafWidth2,earHt1,flagLeafHt1,plantHt1,earHt2,flagLeafHt2,plantHt2,leafDimHtCollector,leafDimHtDate,harvestDate,combineYield,combineMoisture,combineTestWt,harvestSeq,population,leafDimHtNotes,moistureCorrectedStarch,moistureCorrectedProtein,moistureCorrectedOil,moistureCorrectedFiber,moistureCorrectedAsh,looseKernelCt,looseKernelWt,totalMoisture,earDataCollector1,earPhenotypeNotes1,seedColor1,earWidth1,kernelFillLen1,kernelRows1,kernelsPerRow1,earWt1,totalKernelCt1,cobWidth1,cobLen1,cobWt1,hundredKernelWt1,greenAtHarvest1,earDataCollector2,earPhenotypeNotes2,seedColor2,earWidth2,kernelFillLen2,kernelRows2,kernelsPerRow2,earWt2,totalKernelCt2,cobWidth2,cobLen2,cobWt2,hundredKernelWt2,greenAtHarvest2,earDataCollector3,earPhenotypeNotes3,seedColor3,earWidth3,kernelFillLen3,kernelRows3,kernelsPerRow3,earWt3,totalKernelCt3,cobWidth3,cobLen3,cobWt3,hundredKernelWt3,greenAtHarvest3,earDataCollector4,earPhenotypeNotes4,seedColor4,earWidth4,kernelFillLen4,kernelRows4,kernelsPerRow4,earWt4,totalKernelCt4,cobWidth4,cobLen4,cobWt4,hundredKernelWt4,greenAtHarvest4,combineNotes
4135$Row6$Range8$PHZ51 x LH145,4135,Lincoln,Hybrid HIPS,Medium,Dryland,1,6,8,PHZ51 X LH145,2022-07-17,Vla,2022-07-20,Lina,NA,78.5,9.3,81.5,9,85,197,238,90,192,237,Han/Lina,2022-08-05,2022-10-10 11:39:08,4.37,12.7,62.7,233,Hybrid,NA,70.19,11.54,4.45,0.68,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4136$Row7$Range2$LH82 x PHB47,4136,Lincoln,Hybrid HIPS,Medium,Dryland,1,7,2,LH82 X PHB47,2022-07-18,Vla,2022-07-18,Vla,NA,82,10.1,68.5,8.3,80,169,210,82,160,199,Han/Lina,2022-08-05,2022-10-10 09:53:18,5.5,14,62.1,6,Hybrid,NA,68.79,11.23,4.99,1.03,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4137$Row7$Range3$PHP02 x PHK56,4137,Lincoln,Hybrid HIPS,Medium,Dryland,1,7,3,PHP02 X PHK56,2022-07-17,Vla,2022-07-18,Vla,NA,75.4,8.7,77.5,8.5,84,169,210,80,180,225,Han/Lina,2022-08-05,2022-10-10 10:26:13,5.47,12.7,62.7,71,Hybrid,NA,66.23,10.72,4.08,1.39,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4138$Row7$Range4$2369 x PHZ51,4138,Lincoln,Hybrid HIPS,Medium,Dryland,1,7,4,2369 X PHZ51,2022-07-19,Vla,2022-07-21,Lina,NA,84.8,10,74.7,7.5,100,220,268,112,202,242,Han/Lina,2022-08-05,2022-10-10 10:30:26,8.89,12.7,62.7,82,Hybrid,NA,68.52,9.99,3.32,1.14,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4139$Row7$Range5$PHP02 x LH198,4139,Lincoln,Hybrid HIPS,Medium,Dryland,1,7,5,PHP02 X LH198,2022-07-17,Vla,2022-07-17,Vla,NA,80.8,7.7,87.8,8.8,90,188,224,90,180,223,Han/Lina,2022-08-05,2022-10-10 10:56:02,4.69,12.7,62.7,147,Hybrid,NA,71.37,10.56,3.63,1.63,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4140$Row7$Range6$PHB47 x PHK56,4140,Lincoln,Hybrid HIPS,Medium,Dryland,1,7,6,PHB47 X PHK56,2022-07-19,Vla,2022-07-21,Lina,NA,83.3,9.1,84.6,9.7,80,170,212,78,179,220,Han/Lina,2022-08-05,2022-10-10 11:02:23,6.95,12,63.1,158,Hybrid,NA,66.87,10.54,4.02,1.26,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4141$Row7$Range7$LH195 x LH123HT,4141,Lincoln,Hybrid HIPS,Medium,Dryland,1,7,7,LH195 X LH123HT,-Inf,NA,-Inf,NA,Very uneven growth (Turkus 7/24),83.1,11.1,81.2,10,80,179,220,80,169,214,Han/Lina,2022-08-05,2022-10-10 11:31:57,1.31,11.2,63.3,223,Hybrid,NA,66.84,14.63,4.6,1.5,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4142$Row7$Range8$PHK56 x LH185,4142,Lincoln,Hybrid HIPS,Medium,Dryland,1,7,8,PHK56 X LH185,2022-07-19,Vla,2022-07-21,Lina,NA,76.6,10.4,77.6,9.8,78,177,228,70,182,230,Han/Lina,2022-08-05,2022-10-10 11:39:30,3.91,12.6,62.7,234,Hybrid,NA,64.37,12.04,3.92,2.09,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4143$Row8$Range2$2369 x PHP02,4143,Lincoln,Hybrid HIPS,Medium,Dryland,1,8,2,2369 X PHP02,2022-07-17,Vla,2022-07-19,Vla,NA,86,7.7,85.7,8.4,90,188,230,90,186,223,Han/Lina,2022-08-05,2022-10-10 09:53:41,6.49,13.6,62.4,7,Hybrid,NA,67.94,9.81,3.81,1.04,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4144$Row8$Range3$N209 x 3IIH6,4144,Lincoln,Hybrid HIPS,Medium,Dryland,1,8,3,N209 X 3IIH6,2022-07-18,Vla,2022-07-22,Turkus,NA,88.5,9.4,79,8.5,101,198,243,92,182,230,Han/Lina,2022-08-05,2022-10-10 10:25:52,7.22,12.4,63,70,Hybrid,NA,65.52,12.22,4.65,1.08,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4145$Row8$Range4$2369 x PHN82,4145,Lincoln,Hybrid HIPS,Medium,Dryland,1,8,4,2369 X PHN82,2022-07-19,Vla,2022-07-24,Turkus,NA,81.5,8.8,81.3,8,78,175,220,82,171,219,Han/Lina,2022-08-05,2022-10-10 10:30:49,4.66,13.8,61.9,83,Hybrid,NA,68.33,9.59,3.56,1.02,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4146$Row8$Range5$B105 x 3IIH6,4146,Lincoln,Hybrid HIPS,Medium,Dryland,1,8,5,B105 X 3IIH6,2022-07-18,Vla,2022-07-24,Turkus,Uneven growth (Turkus 7/24),82,8,87,9.6,70,165,210,73,166,218,Han/Lina,2022-08-05,2022-10-10 10:55:37,2.57,13.1,62.2,146,Hybrid,NA,70.17,9.48,4.15,1.74,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4147$Row8$Range6$2369 x LH123HT,4147,Lincoln,Hybrid HIPS,Medium,Dryland,1,8,6,2369 X LH123HT,2022-07-23,Turkus,-Inf,Deniz,*90% of the plot (remainings are in bad shape) (Deniz). Uneven growth,83.3,9.4,84.5,9.5,75,158,191,78,161,209,Han/Lina,2022-08-05,2022-10-10 11:02:52,2.2,17.9,57.4,159,Hybrid,NA,68.24,11.41,3.78,1.82,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4148$Row8$Range7$PHB47 x LH185,4148,Lincoln,Hybrid HIPS,Medium,Dryland,1,8,7,PHB47 X LH185,2022-07-22,Turkus,2022-07-23,Turkus,NA,83.9,10,83.7,9.9,84,187,247,80,186,240,Han/Lina,2022-08-05,2022-10-10 11:31:36,4.01,12.7,62.5,222,Hybrid,NA,66.26,10.32,4.01,1.72,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4149$Row8$Range8$PHP02 x LH145,4149,Lincoln,Hybrid HIPS,Medium,Dryland,1,8,8,PHP02 X LH145,2022-07-13,Vla,2022-07-17,Vla,NA,86.1,9.3,86.4,8.2,86,180,222,198,177,217,Han/Lina,2022-08-05,2022-10-10 11:39:53,4.86,12.7,62.7,235,Hybrid,NA,69.63,12.27,3.81,1.59,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4150$Row9$Range2$PHW52 x PHM49,4150,Lincoln,Hybrid HIPS,Medium,Dryland,1,9,2,PHW52 X PHM49,2022-07-24,Ravi,2022-07-25,Deniz,NA,74.9,9.2,84.2,9.4,81,170,219,90,180,230,Han/Lina,2022-08-05,2022-10-10 09:54:08,6.89,14.1,62,8,Hybrid,NA,69.73,9.83,4.43,1.22,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4151$Row9$Range3$LH145 x LH162,4151,Lincoln,Hybrid HIPS,Medium,Dryland,1,9,3,LH145 X LH162,2022-07-17,Vla,2022-07-19,Vla,NA,81.3,7.6,86.7,8.5,79,178,219,88,191,233,Han/Lina,2022-08-05,2022-10-10 10:25:31,6.61,12.9,62.5,69,Hybrid,NA,68.42,12.57,4.33,1.06,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4152$Row9$Range4$PHK76 x W606S,4152,Lincoln,Hybrid HIPS,Medium,Dryland,1,9,4,PHK76 X W606S,2022-07-19,Vla,2022-07-23,Ravi,NA,74.4,9.1,73,9.6,73,172,230,86,189,232,Han/Lina,2022-08-05,2022-10-10 10:31:13,6.57,13.4,62.4,84,Hybrid,NA,68.83,9.42,4.13,1.06,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4153$Row9$Range5$B73 x PHM49,4153,Lincoln,Hybrid HIPS,Medium,Dryland,1,9,5,B73 X PHM49,2022-07-24,Ravi,2022-07-24,Ravi,NA,86.8,10,82.5,9.5,103,192,242,105,190,240,Han/Lina,2022-08-05,2022-10-10 10:55:15,5.02,13.8,61.7,145,Hybrid,NA,67.69,10.18,3.3,1.51,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4154$Row9$Range6$B37 x Mo17,4154,Lincoln,Hybrid HIPS,Medium,Dryland,1,9,6,B37 X MO17,2022-07-24,Ravi,2022-07-29,Deniz,NA,79,9.2,76.5,9,102,174,253,102,190,238,Han/Lina,2022-08-05,2022-10-10 11:03:17,4.18,14.1,61.6,160,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4155$Row9$Range7$LH123HT x 3IIH6,4155,Lincoln,Hybrid HIPS,Medium,Dryland,1,9,7,LH123HT X 3IIH6,2022-07-21,HJ,2022-07-24,Ravi,NA,81.2,8.4,84.3,9.2,85,181,233,103,192,240,Han/Lina,2022-08-05,2022-10-10 11:31:15,1.43,11.4,63.2,221,Hybrid,NA,63.63,14,4.16,1.42,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4156$Row9$Range8$Syngenta NK0760-3111,4156,Lincoln,Hybrid HIPS,Medium,Dryland,1,9,8,SYNGENTA NK0760-3111,2022-07-24,Ravi,2022-07-21,HJ,Silking is earlier than pollen,82.4,9.2,87.9,9.7,98,193,221,102,193,240,Han/Lina,2022-08-05,2022-10-10 11:40:17,8.72,12.4,62.9,236,Hybrid,NA,70.65,9.3,4.05,2.06,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4157$Row10$Range2$LH195 x LH185,4157,Lincoln,Hybrid HIPS,Medium,Dryland,1,10,2,LH195 X LH185,2022-07-24,Ravi,2022-07-25,Ravi,NA,79,9.8,78.7,9.7,90,192,236,90,180,222,Han/Lina,2022-08-05,2022-10-10 09:54:32,7.74,13.6,62.4,9,Hybrid,NA,68.41,9.24,3.59,1.12,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4158$Row10$Range3$B84 x 3IIH6,4158,Lincoln,Hybrid HIPS,Medium,Dryland,1,10,3,B84 X 3IIH6,2022-07-21,HJ,2022-07-23,Ravi,NA,85.8,9.1,87,7.5,92,188,241,110,193,241,Han/Lina,2022-08-05,2022-10-10 10:25:11,3.2,13.5,62.3,68,Hybrid,NA,66.26,12.87,4.26,1.78,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4159$Row10$Range4$B73 x 3IIH6,4159,Lincoln,Hybrid HIPS,Medium,Dryland,1,10,4,B73 X 3IIH6,2022-07-17,Vla,2022-07-21,HJ,NA,86.5,9,86,8.7,89,190,242,92,191,240,Han/Lina,2022-08-05,2022-10-10 10:31:36,2.85,13.4,62.4,85,Hybrid,NA,65.86,13.74,4.31,1.46,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4160$Row10$Range5$Hoegemeyer 7089 AMXT,4160,Lincoln,Hybrid HIPS,Medium,Dryland,1,10,5,HOEGEMEYER 7089 AMXT,2022-07-19,HJ,2022-07-19,HJ,NA,84.3,9.8,82.5,10.4,82,190,233,95,193,230,Han/Lina,2022-08-05,2022-10-10 10:54:52,9.5,12.7,62.6,144,Hybrid,NA,69.29,7.78,4.11,0.76,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4161$Row10$Range6$PHW52 x PHZ51,4161,Lincoln,Hybrid HIPS,Medium,Dryland,1,10,6,PHW52 X PHZ51,2022-07-24,Ravi,2022-07-25,Deniz,NA,77.2,8.3,80,8.4,100,191,235,100,200,242,Han/Lina,2022-08-05,2022-10-10 11:03:43,4.21,13.5,62.2,161,Hybrid,NA,70.4,10.18,3.98,0.82,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4162$Row10$Range7$PHP02 x LH82,4162,Lincoln,Hybrid HIPS,Medium,Dryland,1,10,7,PHP02 X LH82,2022-07-17,Vla,2022-07-17,Vla,NA,77,8.8,72,9.1,73,153,192,79,171,189,Han/Lina,2022-08-05,2022-10-10 11:30:53,5.15,11.8,63.1,220,Hybrid,NA,66.32,12.46,4.32,0.93,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4163$Row10$Range8$Syngenta NK0760-3111,4163,Lincoln,Hybrid HIPS,Medium,Dryland,1,10,8,SYNGENTA NK0760-3111,2022-07-19,Vla,2022-07-19,HJ,NA,82.4,9.2,87.9,9.1,98,193,221,102,193,240,Han/Lina,2022-08-05,2022-10-10 11:40:40,5.51,12.5,62.8,237,Hybrid,NA,71.43,10.71,3.83,1.99,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4164$Row11$Range2$LH82 x W606S,4164,Lincoln,Hybrid HIPS,Medium,Dryland,1,11,2,LH82 X W606S,2022-07-20,Vla,2022-07-21,HJ,NA,74.5,9.8,71,9.3,88,172,230,90,173,209,Han/Lina,2022-08-05,2022-10-10 09:54:53,7.69,13.2,62.7,10,Hybrid,NA,68.02,10.13,3.94,0.71,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4165$Row11$Range3$PHK56 x LH82,4165,Lincoln,Hybrid HIPS,Medium,Dryland,1,11,3,PHK56 X LH82,2022-07-19,Vla,2022-07-20,HJ,NA,80.4,10,79.5,8.2,79,167,208,86,150,197,Han/Lina,2022-08-05,2022-10-10 10:24:46,5.73,13.5,62.3,67,Hybrid,NA,68.62,10.42,4.45,0.94,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4166$Row11$Range4$4N506 x 3IIH6,4166,Lincoln,Hybrid HIPS,Medium,Dryland,1,11,4,4N506 X 3IIH6,2022-07-18,Vla,2022-07-19,Vla,NA,85.5,8.3,82.5,8,108,203,250,110,202,242,Han/Lina,2022-08-05,2022-10-10 10:31:57,3.54,12.8,62.8,86,Hybrid,NA,65.7,10.49,4.16,1.75,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4167$Row11$Range5$F42 x OH43,4167,Lincoln,Hybrid HIPS,Medium,Dryland,1,11,5,F42 X OH43,2022-07-19,Vla,2022-07-24,Ravi,NA,90,9.2,88.5,9.5,119,191,240,100,210,260,Han/Lina,2022-08-05,2022-10-10 10:54:28,6.09,13.8,61.8,143,Hybrid,NA,67.43,10.47,4.22,1.2,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4168$Row11$Range6$LH195 x PHM49,4168,Lincoln,Hybrid HIPS,Medium,Dryland,1,11,6,LH195 X PHM49,2022-07-26,Lina,2022-07-28,Lina,NA,72.8,9.3,80,9.7,90,162,213,90,180,230,Han/Lina,2022-08-05,2022-10-10 11:04:08,2.66,15.7,60.4,162,Hybrid,NA,67.3,10.72,3.97,1.17,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4169$Row11$Range7$PHW52 x LH185,4169,Lincoln,Hybrid HIPS,Medium,Dryland,1,11,7,PHW52 X LH185,2022-07-21,HJ,2022-07-24,Ravi,NA,73.5,8.8,77.5,9.1,96,174,220,73,171,210,Han/Lina,2022-08-05,2022-10-10 11:30:32,5.49,14,60.9,219,Hybrid,NA,69.11,11.31,4.22,1.18,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
